Depth,pier 1 seismic,pier 1 static,pier 3 seismic,pier 3 static
0.72,-0.836686343,20.12194202,-6.600000412,6.6
0.73,-0.836686343,20.12194202,-6.600000412,6.6
0.74,-0.836686343,20.12194202,-6.600000412,6.6
0.75,-0.836686343,20.12194202,-6.600000412,6.6
0.76,-0.836686343,20.12194202,-6.600000412,6.6
0.77,-0.836686343,20.12194202,-6.600000412,6.6
0.78,-0.836686343,20.12194202,-6.600000412,6.6
0.79,-0.836686343,20.12194202,-6.600000412,6.6
0.8,-0.836686343,20.12194202,-6.600000412,6.6
0.81,-0.836686343,20.12194202,-6.600000412,6.6
0.82,-0.836686343,20.12194202,-6.600000412,6.6
0.83,-0.836686343,20.12194202,-6.600000412,6.6
0.84,-0.836686343,20.12194202,-6.600000412,6.6
0.85,-0.836686343,20.12194202,-6.600000412,6.6
0.86,-0.836686343,20.12194202,-6.600000412,6.6
0.87,-0.836686343,20.12194202,-6.600000412,6.6
0.88,-0.836686343,20.12194202,-6.600000412,6.6
0.89,-0.836686343,20.12194202,-6.600000412,6.6
0.9,-0.836686343,20.12194202,-6.600000412,6.6
0.91,-0.836686343,20.12194202,-6.600000412,6.6
0.92,-0.836686343,20.12194202,-6.600000412,6.6
0.93,-0.836686343,20.12194202,-6.600000412,6.6
0.94,-0.836686343,20.12194202,-6.600000412,6.6
0.95,-0.836686343,20.12194202,-6.600000412,6.6
0.96,-0.836686343,20.12194202,-6.600000412,6.6
0.97,-0.836686343,20.12194202,-6.600000412,6.6
0.98,-0.836686343,20.12194202,-6.600000412,6.6
0.99,-0.836686343,20.12194202,-6.600000412,6.6
1,-0.836686343,20.12194202,-6.600000412,6.6
1.01,-0.836686343,20.12194202,-6.600000412,6.6
1.02,-0.836686343,20.12194202,-6.600000412,6.6
1.03,-0.836686343,20.12194202,-6.600000412,6.6
1.04,-0.836686343,20.12194202,-6.600000412,6.6
1.05,-0.836686343,20.12194202,-6.600000412,6.6
1.06,-0.836686343,20.12194202,-6.600000412,6.6
1.07,-0.836686343,20.12194202,-6.600000412,6.6
1.08,-0.836686343,20.12194202,-6.600000412,6.6
1.09,-0.836686343,20.12194202,-6.600000412,6.6
1.1,-0.836686343,20.12194202,-6.600000412,6.6
1.11,-0.836686343,20.12194202,-6.600000412,6.6
1.12,-0.836686343,20.12194202,-6.600000412,6.6
1.13,-0.836686343,20.12194202,-6.600000412,6.6
1.14,-0.836686343,20.12194202,-6.600000412,6.6
