Elevation [m],N [kN],V [kN],M [kNm]
0.2,-20654.99999999907,723.8390629375353,-1438.7232863719807
0.2,-20654.999999998137,723.5341739896685,-1438.7475647826213
0.0,-20654.999999998137,723.5341739896685,-1583.454399580555
0.0,-20655.000000002794,723.176974770613,-1583.4793998148525
-0.2,-20655.000000002794,723.176974770613,-1728.1147947689751
-0.2,-20654.999999998137,722.7623745896854,-1728.1391511438414
-0.4,-20654.999999998137,722.7623745896854,-1872.6916260617786
-0.4,-20655.0,722.3088854430243,-1872.7159844022244
-0.6,-20655.0,722.3088854430243,-2017.1777614908292
-0.6,-20655.000000002794,721.81523936335,-2017.2021220548777
-0.8,-20655.000000002794,721.81523936335,-2161.5651699275477
-0.8,-20655.000000003725,721.2802204764448,-2161.5895241708495
-1.0,-20655.000000003725,721.2802204764448,-2305.8455682661383
-1.0,-20655.000000004657,720.7028060536832,-2305.869922904414
-1.2,-20655.000000004657,720.7028060536832,-2450.0104841151506
-1.2,-20655.00000000093,720.0817133612,-2450.034835674567
-1.4,-20655.00000000093,720.0817133612,-2594.0511783468073
-1.4,-20655.0,719.4157494758256,-2594.0755243944004
-1.6,-20655.0,719.4157494758256,-2737.958674289566
-1.6,-20655.000000001863,718.7036831490695,-2737.983013736317
-1.8,-20655.000000001863,718.7036831490695,-2881.723750366131
-1.8,-20655.000000001863,717.9443050809205,-2881.748081231839
-2.0,-20655.000000001863,717.9443050809205,-3025.336942248023
-2.0,-20655.000000001863,717.1365149216726,-3025.3612619817723
-2.2,-20655.000000001863,717.1365149216726,-3168.788564966107
-2.2,-20655.000000003725,716.2792617068626,-3168.8128686534474
-2.4,-20655.000000003725,716.2792617068626,-3312.0687209948196
-2.4,-20655.000000003725,715.3715562801808,-3312.0930143083096
-2.6,-20655.000000003725,715.3715562801808,-3455.167325564346
-2.6,-20655.000000003725,714.4114933153614,-3455.191620455298
-2.8,-20655.000000003725,714.4114933153614,-3598.07391911837
-2.8,-20655.000000002794,713.3990028095432,-3598.0981595443445
-3.0,-20655.000000002794,713.3990028095432,-3740.7779601062534
-3.0,-20655.000000002794,712.333158926107,-3740.802219833131
-3.2,-20655.000000002794,712.333158926107,-3883.2688516183525
-3.2,-20655.000000001863,711.2080350709148,-3883.2931430520257
-3.4,-20655.000000001863,711.2080350709148,-4025.5347500662083
-3.4,-20655.00000000093,710.0211473722011,-4025.5590201310115
-3.6,-20655.00000000093,710.0211473722011,-4167.563249605452
-3.6,-20655.0,708.7713293870911,-4167.587493914529
-3.8,-20655.0,708.7713293870911,-4309.341759791947
-3.8,-20654.99999999907,707.4575927557889,-4309.365973612759
-4.0,-20654.99999999907,707.4575927557889,-4450.857492163917
-4.0,-20654.99999999907,706.0791892698035,-4450.881669880531
-4.2,-20654.99999999907,706.0791892698035,-4592.097507734492
-4.2,-20655.0,704.6356320041232,-4592.121643768041
-4.4,-20655.0,704.6356320041232,-4733.048770168866
