Elevation [m],p_mobilized [kN/m],p_max [kN/m]
-32.5,15.456624439185136,1260.0
-32.5,15.456624439185136,1260.0
-33.0,7.768683915182659,1260.0
-33.0,7.768683915182659,1260.0
-33.5,2.055684240212159,1260.0
-33.5,2.055684240212159,1260.0
-34.0,1.9950345954830746,1260.0
-34.0,1.9950345954830746,1260.0
-34.5,4.693104389118476,1260.0
-34.5,4.693104389118476,1260.0
-35.0,6.326745395252495,1260.0
-35.0,6.326745395252495,1260.0
-35.5,7.151194802671333,1260.0
-35.5,7.151194802671333,1260.0
-36.0,7.382363107930965,1260.0
-36.0,4.78602838905826,5037.0854
-36.5,4.721490578613325,5451.6914
-36.5,4.721490578613325,5451.6914
-37.0,4.452327781398476,5879.0425
-37.0,4.452327781398476,5879.0425
-37.5,4.0474857795161645,6319.1396
-37.5,4.0474857795161645,6319.1396
-38.0,3.5635337777023577,6771.982
-38.0,3.5635337777023577,6771.982
-38.5,3.045347602973243,7237.57
-38.5,3.045347602973243,7237.57
-39.0,2.527149623194065,7715.9033
-39.0,2.527149623194065,7715.9033
-39.5,2.0337702299832157,8206.982
-39.5,2.0337702299832157,8206.982
-40.0,1.5820113558233393,8710.807
-40.0,1.5820113558233393,8710.807
-40.5,1.1820258906636634,9227.377
-40.5,1.1820258906636634,9227.377
-41.0,0.8386454239373315,9756.692
-41.0,0.8386454239373315,9756.692
-41.5,0.5526028249935186,10298.753
-41.5,0.5526028249935186,10298.753
-42.0,0.32162524291110944,10853.56
-42.0,0.32162524291110944,10853.56
-42.5,0.14137630079825403,11421.112
-42.5,0.14137630079825403,11421.112
-43.0,0.006244376348702205,12001.409
-43.0,0.006244376348702205,12001.409
-43.5,0.09001991269719394,12594.452
-43.5,0.09001991269719394,12594.452
-44.0,0.15380726022558275,13200.241
-44.0,0.15380726022558275,13200.241
-44.5,0.19128013626414675,13818.775
-44.5,0.19128013626414675,13818.775
-45.0,0.2081134697233651,14450.055
-45.0,0.2081134697233651,14450.055
-45.5,0.20932858429163467,15094.08
-45.5,0.20932858429163467,15094.08
-46.0,0.19920290902616214,15750.851
-46.0,0.19920290902616214,15750.851
-46.5,0.1812398718826812,16420.367
-46.5,0.1812398718826812,16420.367
-47.0,0.15818436780971207,17102.629
-47.0,0.15818436780971207,17102.629
-47.5,0.13207213817679248,17797.637
-47.5,0.13207213817679248,17797.637
-48.0,0.10430303994804979,18505.389
-48.0,0.10430303994804979,18505.389
-48.5,0.07573085299735222,19225.887
-48.5,0.07573085299735222,19225.887
-49.0,0.04676467825248114,19959.13
-49.0,0.04676467825248114,19959.13
-49.5,0.017478923472012863,20705.12
-49.5,0.017478923472012863,20705.12
-49.5,0.017655478432745415,21463.855
