p[kN/m]@2m,p[kN/m]@2m,p[kN/m]@4m,p[kN/m]@4m,p[kN/m]@10m,p[kN/m]@10m,p[kN/m]@15m,p[kN/m]@15m,p[kN/m]@25m,p[kN/m]@25m,p[kN/m]@50m,p[kN/m]@50m
7.303332,0.040370382,0.66473514,0.004208921,624.55774,0.003098187,1553.2726,0.004347787,1880.4314,0.020671587,21291.75,0.011487395
7.3487544,0.04049633,0.66903245,0.00422558,631.0057,0.003132998,1569.3086,0.004396639,1889.7507,0.020983595,21511.566,0.011616467
7.3927665,0.040617995,0.6796299,0.004266489,637.4358,0.003167809,1585.3003,0.00444549,1889.7727,0.020984337,21730.775,0.011745538
7.456233,0.040792808,0.6951385,0.004325912,643.848,0.00320262,1601.2473,0.004494342,1889.8215,0.02098598,21949.373,0.01187461
7.9492726,0.042126372,0.7059483,0.004367029,650.2421,0.003237431,1617.1495,0.004543194,1892.3964,0.021072745,22167.355,0.012003682
8.419307,0.04335989,0.712763,0.004392825,656.618,0.003272242,1633.0063,0.004592045,1902.8086,0.021426061,22384.715,0.012132754
8.687899,0.044049397,0.7246751,0.004437687,662.9756,0.003307053,1648.8176,0.004640896,1906.8467,0.021564145,22601.451,0.012261826
8.765097,0.04424561,0.7326188,0.004467445,669.3147,0.003341864,1664.5829,0.004689748,1911.5583,0.021726016,22817.557,0.012390898
8.801254,0.04433721,0.7346671,0.004475098,675.63525,0.003376675,1680.3021,0.0047386,1920.9209,0.022050075,23033.03,0.012519969
8.891698,0.044565525,0.74241436,0.00450397,681.9371,0.003411486,1695.9747,0.004787451,1923.2114,0.022129849,23247.865,0.012649041
9.111031,0.045114458,0.76166284,0.004575202,688.2201,0.003446297,1711.6006,0.004836303,1929.7451,0.022358457,23462.059,0.012778113
9.335145,0.045668606,0.763301,0.004581232,694.4842,0.003481109,1727.1793,0.004885154,1929.7971,0.022360284,23675.607,0.012907185
9.413766,0.045861434,0.77201223,0.004613214,700.72925,0.003515919,1742.7108,0.004934006,1930.8987,0.022398982,23888.508,0.013036257
9.78006,0.04674943,0.8530866,0.004904454,706.95514,0.003550731,1758.1945,0.004982858,1931.4379,0.02241794,24100.754,0.013165329
9.851103,0.04691973,0.85930544,0.004926341,713.16174,0.003585542,1773.6304,0.005031709,1937.7925,0.022642197,24312.342,0.013294401
