p[kN/m]@6m,y[m]@6m,p[kN/m]@11m,y[m]@11m,p[kN/m]@16m,y[m]@16m,p[kN/m]@24m,y[m]@24m,p[kN/m]@40m,y[m]@40m,p[kN/m]@49m,y[m]@49m
123.613365,0.26491606,123.613365,0.3571187,123.613365,0.15044262,838.269,0.24871995,8020.0737,0.011934783,18376.45,0.022323469
123.613365,0.26530856,123.613365,0.35753876,123.613365,0.15076177,839.50287,0.24983098,8025.4097,0.011964846,18388.676,0.022379698
123.613365,0.26643923,123.613365,0.35764033,123.613365,0.15227647,840.47314,0.250707,8030.706,0.011994908,18400.81,0.02243593
123.613365,0.2665119,123.613365,0.3583097,123.613365,0.15229994,841.86127,0.25196388,8035.9634,0.01202497,18412.857,0.02249216
123.613365,0.26738602,123.613365,0.3584262,123.613365,0.15232712,841.9739,0.252066,8041.182,0.012055033,18424.814,0.02254839
123.613365,0.2679908,123.613365,0.35908425,123.613365,0.1525029,843.2985,0.25326964,8046.363,0.012085095,18436.686,0.02260462
123.613365,0.26801,123.613365,0.3601409,123.613365,0.15313183,843.7253,0.25365826,8051.505,0.012115157,18448.469,0.022660851
123.613365,0.26977274,123.613365,0.3601646,123.613365,0.15316188,844.72797,0.2545728,8056.6094,0.01214522,18460.164,0.022717081
123.613365,0.27217847,123.613365,0.36084402,123.613365,0.15455623,845.9278,0.25567016,8061.6763,0.012175282,18471.773,0.022773312
123.613365,0.27233648,123.613365,0.361083,123.613365,0.15494283,846.11896,0.25584525,8066.7056,0.012205345,18483.297,0.022829542
123.613365,0.2725131,123.613365,0.36191827,123.613365,0.15494417,847.6532,0.25725368,8071.6978,0.012235407,18494.736,0.022885773
123.613365,0.27267644,123.613365,0.36258388,123.613365,0.15523079,848.659,0.25817975,8076.653,0.01226547,18506.09,0.022942003
123.613365,0.27334476,123.613365,0.363844,123.613365,0.15622596,850.1274,0.25953582,8081.572,0.012295532,18517.36,0.022998232
123.613365,0.2733488,123.613365,0.36494708,123.613365,0.15647756,850.80304,0.26016137,8086.454,0.012325594,18528.547,0.023054464
123.613365,0.27440315,123.613365,0.365339,123.613365,0.1571103,851.1138,0.2604494,8091.3003,0.012355656,18539.65,0.023110693
123.613365,0.27484584,123.613365,0.36638558,123.613365,0.15712543,851.5949,0.26089585,8096.1104,0.012385719,18550.672,0.023166925
123.613365,0.27575868,123.613365,0.36643803,123.613365,0.1575107,854.1338,0.26325998,8100.8853,0.012415782,18561.613,0.023223154
123.613365,0.27588737,123.613365,0.3695371,123.613365,0.15760925,854.1417,0.2632674,8105.6245,0.012445844,18572.473,0.023279386
123.613365,0.2775379,123.613365,0.37238088,123.613365,0.1579297,854.28766,0.26340374,8110.3286,0.012475907,18583.25,0.023335615
123.613365,0.27761027,123.613365,0.37387294,123.613365,0.15809019,855.4911,0.26452976,8114.9976,0.012505969,18593.95,0.023391847
123.613365,0.27770895,123.613365,0.37448084,123.613365,0.15815485,855.72864,0.2647524,8119.632,0.012536031,18604.568,0.023448076
123.613365,0.27817443,123.613365,0.3758215,123.613365,0.15816267,856.3297,0.26531634,8124.232,0.012566093,18615.107,0.023504307
123.613365,0.27973258,123.613365,0.37587777,123.613365,0.158261,857.24713,0.26617864,8128.798,0.012596156,18625.57,0.023560537
123.613365,0.2801912,123.613365,0.37622952,123.613365,0.15831017,858.7945,0.26763722,8133.3296,0.012626219,18635.953,0.023616768
123.613365,0.2804946,123.613365,0.37637347,123.613365,0.1590747,860.02655,0.26880246,8137.828,0.012656281,18646.26,0.023672998
123.613365,0.28069222,123.613365,0.37804258,123.613365,0.1605871,860.28064,0.26904318,8142.2925,0.012686344,18656.49,0.02372923
123.613365,0.28315243,123.613365,0.37886992,123.613365,0.16059656,860.3489,0.26910785,8146.724,0.012716406,18666.645,0.023785459
123.613365,0.28402063,123.613365,0.37903756,123.613365,0.16144346,861.06616,0.26978832,8151.122,0.012746468,18676.72,0.023841688
123.613365,0.28421205,123.613365,0.38014692,123.613365,0.16240866,862.02594,0.2707006,8155.488,0.01277653,18686.725,0.02389792
123.613365,0.28461862,123.613365,0.38055345,123.613365,0.16248535,862.536,0.27118623,8159.821,0.012806593,18696.652,0.02395415
123.613365,0.28484893,123.613365,0.380965,123.613365,0.16381231,862.6749,0.27131864,8164.121,0.012836656,18706.506,0.02401038
123.613365,0.28516144,123.613365,0.38236386,123.613365,0.16450013,862.7477,0.271388,8168.3896,0.012866718,18716.287,0.02406661
123.613365,0.2854955,123.613365,0.3833028,123.613365,0.16456792,864.713,0.27326572,8172.626,0.012896781,18725.994,0.024122842
123.613365,0.28573287,123.613365,0.38345626,123.613365,0.16471943,864.71686,0.27326941,8176.831,0.012926843,18735.629,0.024179071
123.613365,0.28587112,123.613365,0.3845028,123.613365,0.16483952,865.033,0.2735723,8181.0044,0.012956905,18745.191,0.024235303
123.613365,0.2861838,123.613365,0.38688016,123.613365,0.16598357,865.4834,0.27400416,8185.1465,0.012986967,18754.682,0.024291532
123.613365,0.28665712,123.613365,0.38692394,123.613365,0.16700622,867.4075,0.27585417,8189.2573,0.01301703,18764.102,0.024347764
123.613365,0.28686434,123.613365,0.38927191,123.613365,0.16794808,867.6974,0.27613366,8193.338,0.013047093,18773.45,0.024403993
123.613365,0.28834945,123.613365,0.39059067,123.613365,0.168092,868.6218,0.27702615,8197.388,0.013077155,18782.729,0.024460224
123.613365,0.29046777,123.613365,0.3938158,123.613365,0.16831768,869.053,0.277443,8201.406,0.013107218,18791.938,0.024516454
123.613365,0.29091156,123.613365,0.39457923,123.613365,0.1684147,869.1656,0.27755195,8205.3955,0.01313728,18801.078,0.024572685
123.613365,0.29186183,123.613365,0.39586067,123.613365,0.16842814,869.89764,0.278261,8209.3545,0.013167342,18810.15,0.024628915
123.613365,0.29323688,123.613365,0.39597732,123.613365,0.16882578,870.82324,0.27915913,8213.284,0.013197404,18819.154,0.024685144
123.613365,0.29325172,123.613365,0.3965343,123.613365,0.16912813,870.9805,0.27931195,8217.184,0.013227467,18828.09,0.024741376
123.613365,0.29675522,123.613365,0.39743018,123.613365,0.16957985,871.194,0.27951944,8221.055,0.01325753,18836.959,0.024797605
123.613365,0.2979256,123.613365,0.3976242,123.613365,0.16973253,871.5366,0.27985272,8224.8955,0.013287592,18845.76,0.024853837
123.613365,0.2985444,123.613365,0.3998485,123.613365,0.16981366,875.4533,0.2836812,8228.708,0.013317655,18854.496,0.024910066
123.613365,0.29946208,123.613365,0.40023383,123.613365,0.1701566,875.9428,0.2841622,8232.492,0.013347717,18863.166,0.024966298
123.613365,0.30048627,123.613365,0.40090436,123.613365,0.17070179,876.2877,0.28450137,8236.247,0.013377779,18871.77,0.025022527
123.613365,0.30129746,123.613365,0.40093,123.613365,0.17081316,876.3437,0.2845564,8239.975,0.013407841,18880.309,0.025078759
123.613365,0.30134946,123.613365,0.40103018,123.613365,0.17082,876.58435,0.28479326,8243.673,0.013437904,18888.785,0.025134988
123.613365,0.30140132,123.613365,0.40164813,123.613365,0.17133842,876.8782,0.28508267,8247.345,0.013467967,18897.195,0.02519122
123.613365,0.30219522,123.613365,0.402503,123.613365,0.17135543,876.9938,0.28519657,8250.987,0.013498029,18905.543,0.025247449
123.613365,0.3032554,123.613365,0.4029996,123.613365,0.17187168,877.79877,0.28599063,8254.604,0.013528092,18913.828,0.02530368
123.613365,0.3041566,123.613365,0.40365696,123.613365,0.17195043,877.871,0.28606188,8258.191,0.013558154,18922.05,0.02535991
123.613365,0.30443987,123.613365,0.40397385,123.613365,0.1725177,878.5599,0.28674266,8261.753,0.013588216,18930.21,0.02541614
123.613365,0.30497435,123.613365,0.40545875,123.613365,0.17253272,878.5694,0.2867521,8265.287,0.013618278,18938.309,0.02547237
